timestamp,stonewall_bytes_moved,access,bw(mib/s),iops,latency(s),block(kib),xfer(kib),open(s),wr/rd(s),close(s),total(s),iter,start,ordering,nodes,nproc,ppn,xfersize,aggsize_bytes,end,filename
1626283501.0,2570555392.0,read,53.25,13631.0,7e-06,28311552.0,4.0,0.001178,46.04,5.7e-05,46.04,0,1626283501.0,random,1,16,16,4096.0,463856467968.0,1626283547,ior-n1p16T45-read.0.out
1626283550.0,2576093184.0,read,53.34,13656.0,7e-06,28311552.0,4.0,0.001152,46.05,5.3e-05,46.06,0,1626283550.0,random,1,16,16,4096.0,463856467968.0,1626283596,ior-n1p16T45-read.1.out
1626283599.0,2571862016.0,read,53.26,13635.0,7e-06,28311552.0,4.0,0.000884,46.05,6.2e-05,46.05,0,1626283599.0,random,1,16,16,4096.0,463856467968.0,1626283645,ior-n1p16T45-read.2.out
1626283648.0,2568466432.0,read,53.2,13619.0,7e-06,28311552.0,4.0,0.00058,46.04,4.7e-05,46.04,0,1626283648.0,random,1,16,16,4096.0,463856467968.0,1626283694,ior-n1p16T45-read.3.out
1626283698.0,2559594496.0,read,53.02,13573.0,7e-06,28311552.0,4.0,0.000371,46.04,4.9e-05,46.04,0,1626283698.0,random,1,16,16,4096.0,463856467968.0,1626283744,ior-n1p16T45-read.4.out
1626224408.0,2313748480.0,write,47.84,12260.0,7e-06,28311552.0,4.0,0.04568,46.07,6e-05,46.12,0,1626224408.0,random,1,16,16,4096.0,463856467968.0,1626224454,ior-n1p16T45-write.0.out
1626224457.0,2317828096.0,write,47.92,12280.0,7e-06,28311552.0,4.0,0.045892,46.08,4.5e-05,46.13,0,1626224457.0,random,1,16,16,4096.0,463856467968.0,1626224503,ior-n1p16T45-write.1.out
1626224505.0,2329202688.0,write,48.13,12333.0,7e-06,28311552.0,4.0,0.040833,46.11,4.3e-05,46.15,0,1626224505.0,random,1,16,16,4096.0,463856467968.0,1626224551,ior-n1p16T45-write.2.out
1626224555.0,2311634944.0,write,47.79,12246.0,7e-06,28311552.0,4.0,0.047108,46.09,4.5e-05,46.13,0,1626224555.0,random,1,16,16,4096.0,463856467968.0,1626224601,ior-n1p16T45-write.3.out
1626224604.0,2315022336.0,write,47.87,12265.0,7e-06,28311552.0,4.0,0.041924,46.08,4.1e-05,46.12,0,1626224604.0,random,1,16,16,4096.0,463856467968.0,1626224650,ior-n1p16T45-write.4.out
1626284466.0,145842176.0,read,3.06,782.69,6e-06,28311552.0,4.0,0.000202,45.49,1.3e-05,45.49,0,1626284466.0,random,1,1,1,4096.0,28991029248.0,1626284511,ior-n1p1T45-read.0.out
1626284513.0,149823488.0,read,3.14,804.21,6e-06,28311552.0,4.0,0.000163,45.48,1.3e-05,45.48,0,1626284513.0,random,1,1,1,4096.0,28991029248.0,1626284559,ior-n1p1T45-read.1.out
1626284560.0,146984960.0,read,3.08,788.8,6e-06,28311552.0,4.0,0.000164,45.49,1.5e-05,45.49,0,1626284560.0,random,1,1,1,4096.0,28991029248.0,1626284605,ior-n1p1T45-read.2.out
1626284606.0,144510976.0,read,3.02,774.03,6e-06,28311552.0,4.0,0.000167,45.58,1.3e-05,45.58,0,1626284606.0,random,1,1,1,4096.0,28991029248.0,1626284652,ior-n1p1T45-read.3.out
1626284653.0,140967936.0,read,2.95,755.07,6e-06,28311552.0,4.0,0.00017,45.58,1.2e-05,45.58,0,1626284653.0,random,1,1,1,4096.0,28991029248.0,1626284699,ior-n1p1T45-read.4.out
1626225368.0,140361728.0,write,2.93,751.35,6e-06,28311552.0,4.0,0.003125,45.61,8e-06,45.61,0,1626225368.0,random,1,1,1,4096.0,28991029248.0,1626225414,ior-n1p1T45-write.0.out
1626225415.0,136978432.0,write,2.86,733.21,6e-06,28311552.0,4.0,0.003181,45.61,9e-06,45.61,0,1626225415.0,random,1,1,1,4096.0,28991029248.0,1626225461,ior-n1p1T45-write.1.out
1626225462.0,131076096.0,write,2.74,701.16,6e-06,28311552.0,4.0,0.00285,45.64,9e-06,45.64,0,1626225462.0,random,1,1,1,4096.0,28991029248.0,1626225508,ior-n1p1T45-write.2.out
1626225510.0,137453568.0,write,2.87,735.66,6e-06,28311552.0,4.0,0.002997,45.62,8e-06,45.62,0,1626225510.0,random,1,1,1,4096.0,28991029248.0,1626225555,ior-n1p1T45-write.3.out
1626225557.0,131682304.0,write,2.75,704.74,6e-06,28311552.0,4.0,0.003175,45.62,8e-06,45.62,0,1626225557.0,random,1,1,1,4096.0,28991029248.0,1626225602,ior-n1p1T45-write.4.out
1626284230.0,303611904.0,read,6.31,1615.99,6e-06,28311552.0,4.0,0.000199,45.87,1.6e-05,45.87,0,1626284230.0,random,1,2,2,4096.0,57982058496.0,1626284276,ior-n1p2T45-read.0.out
1626284277.0,302080000.0,read,6.28,1608.26,6e-06,28311552.0,4.0,0.000217,45.86,1.4e-05,45.86,0,1626284277.0,random,1,2,2,4096.0,57982058496.0,1626284323,ior-n1p2T45-read.1.out
1626284324.0,319954944.0,read,6.65,1702.47,6e-06,28311552.0,4.0,0.000205,45.88,1.4e-05,45.88,0,1626284324.0,random,1,2,2,4096.0,57982058496.0,1626284370,ior-n1p2T45-read.2.out
1626284372.0,323584000.0,read,6.72,1720.09,6e-06,28311552.0,4.0,0.000224,45.93,1.3e-05,45.93,0,1626284372.0,random,1,2,2,4096.0,57982058496.0,1626284418,ior-n1p2T45-read.3.out
1626284419.0,314953728.0,read,6.54,1675.03,6e-06,28311552.0,4.0,0.000212,45.91,1.3e-05,45.91,0,1626284419.0,random,1,2,2,4096.0,57982058496.0,1626284465,ior-n1p2T45-read.4.out
1626225129.0,240037888.0,write,4.99,1278.19,6e-06,28311552.0,4.0,0.006708,45.85,8e-06,45.85,0,1626225129.0,random,1,2,2,4096.0,57982058496.0,1626225175,ior-n1p2T45-write.0.out
1626225176.0,286437376.0,write,5.93,1517.06,7e-06,28311552.0,4.0,0.006478,46.1,8e-06,46.1,0,1626225176.0,random,1,2,2,4096.0,57982058496.0,1626225222,ior-n1p2T45-write.1.out
1626225224.0,279973888.0,write,5.79,1482.61,7e-06,28311552.0,4.0,0.006473,46.1,1.1e-05,46.11,0,1626225224.0,random,1,2,2,4096.0,57982058496.0,1626225271,ior-n1p2T45-write.2.out
1626225273.0,290435072.0,write,6.0,1538.36,7e-06,28311552.0,4.0,0.032419,46.09,9e-06,46.12,0,1626225273.0,random,1,2,2,4096.0,57982058496.0,1626225319,ior-n1p2T45-write.3.out
1626225320.0,284545024.0,write,5.89,1507.55,7e-06,28311552.0,4.0,0.005331,46.08,9e-06,46.09,0,1626225320.0,random,1,2,2,4096.0,57982058496.0,1626225366,ior-n1p2T45-write.4.out
1626283990.0,640487424.0,read,13.29,3403.28,6e-06,28311552.0,4.0,0.000225,45.95,2e-05,45.95,0,1626283990.0,random,1,4,4,4096.0,115964116992.0,1626284036,ior-n1p4T45-read.0.out
1626284039.0,618622976.0,read,12.84,3286.03,6e-06,28311552.0,4.0,0.000223,45.96,1.1e-05,45.96,0,1626284039.0,random,1,4,4,4096.0,115964116992.0,1626284085,ior-n1p4T45-read.1.out
1626284087.0,623374336.0,read,12.94,3313.03,6e-06,28311552.0,4.0,0.000252,45.94,1.6e-05,45.94,0,1626284087.0,random,1,4,4,4096.0,115964116992.0,1626284133,ior-n1p4T45-read.2.out
1626284135.0,603049984.0,read,12.52,3205.16,6e-06,28311552.0,4.0,0.000533,45.93,0.000297,45.94,0,1626284135.0,random,1,4,4,4096.0,115964116992.0,1626284180,ior-n1p4T45-read.3.out
1626284183.0,598081536.0,read,12.42,3180.07,6e-06,28311552.0,4.0,0.000238,45.92,1.6e-05,45.92,0,1626284183.0,random,1,4,4,4096.0,115964116992.0,1626284229,ior-n1p4T45-read.4.out
1626224893.0,560984064.0,write,11.62,2975.67,7e-06,28311552.0,4.0,0.010109,46.03,1.2e-05,46.04,0,1626224893.0,random,1,4,4,4096.0,115964116992.0,1626224939,ior-n1p4T45-write.0.out
1626224940.0,533848064.0,write,11.1,2842.91,6e-06,28311552.0,4.0,0.011368,45.85,1.7e-05,45.86,0,1626224940.0,random,1,4,4,4096.0,115964116992.0,1626224986,ior-n1p4T45-write.1.out
1626224987.0,528056320.0,write,10.98,2812.15,6e-06,28311552.0,4.0,0.011118,45.84,8e-06,45.86,0,1626224987.0,random,1,4,4,4096.0,115964116992.0,1626225033,ior-n1p4T45-write.2.out
1626225034.0,533495808.0,write,11.09,2840.09,6e-06,28311552.0,4.0,0.01157,45.86,1e-05,45.87,0,1626225034.0,random,1,4,4,4096.0,115964116992.0,1626225080,ior-n1p4T45-write.3.out
1626225082.0,557608960.0,write,11.57,2963.03,6e-06,28311552.0,4.0,0.012309,45.94,1.3e-05,45.96,0,1626225082.0,random,1,4,4,4096.0,115964116992.0,1626225128,ior-n1p4T45-write.4.out
1626283749.0,1257295872.0,read,26.05,6669.0,7e-06,28311552.0,4.0,0.000523,46.03,0.00028,46.03,0,1626283749.0,random,1,8,8,4096.0,231928233984.0,1626283795,ior-n1p8T45-read.0.out
1626283797.0,1257398272.0,read,26.05,6668.0,7e-06,28311552.0,4.0,0.000292,46.04,3.6e-05,46.04,0,1626283797.0,random,1,8,8,4096.0,231928233984.0,1626283843,ior-n1p8T45-read.1.out
1626283845.0,1262927872.0,read,26.17,6699.0,7e-06,28311552.0,4.0,0.000312,46.03,3.3e-05,46.03,0,1626283845.0,random,1,8,8,4096.0,231928233984.0,1626283891,ior-n1p8T45-read.2.out
1626283893.0,1245491200.0,read,25.81,6608.0,7e-06,28311552.0,4.0,0.000312,46.02,2.9e-05,46.02,0,1626283893.0,random,1,8,8,4096.0,231928233984.0,1626283939,ior-n1p8T45-read.3.out
